"No","Title","News","outcome"
"51","Pacu Kinerja Tahun Ini, TLKM Fokus Garap Layanan Platform Cloud Services","Ipotnews - Untuk meningkatkan kinerjanya, tahun ini PT Telkom Indonesia Tbk (TLKM
) akan fokus mengembangkan layanan platform  cloud services   (Iaas, Paas)  dan layanan  smart platform  ( security , AI).
Menurut  Vice President Corporate  TLKM
, Pujo Pramono, hal tersebut dilakukan baik dengan mengembangkan kapabilitas internal di Telkom Group maupun berpartner dengan pemain global lain yang memiliki kapabilitas di bidang  cloud services. 
""Ini sesuai dengan rencana jangka panjang perseroan. Ke depannya Telkom akan terus mengembangkan layanan platform  cloud services (Iaas, Paas)  beserta layanan  smart platform  ( security , AI). Sebagai contoh saat ini TelkomGroup juga telah mengembangkan layanan  cloud , FloU, atau floucloud.id, yang dapat diakses oleh masyarakat luas,"" jelasnya seperti dikutip  KONTAN , Rabu (24/3).
Pujo tidak mengemukakan besaran investasi yang digelontorkan khusus pada bisnis cloud tersebut. Namun sampai saat ini, Telkom Group telah memiliki 22 Data Center yang tersebar di seluruh Indonesia dan juga internasional (Singapore & Hongkong).
Pujo melanjutkan, sebagai wujud keseriusan Telkom Group dalam menjadi pemain besar di sektor digital platform di Indonesia, pihaknya telah melakukan investasi pembangunan Hyperscale Data Center, seluas 65.000 meter persegi dengan total kapasitas mencapai 10.000 Rack di tahun 2020.
Saat ini tercatat sudah puluhan perusahaan, baik domestik dan internasional dari berbagai sektor, yang menggunakan  cloud  dari Telkom. Di antaranya seperti  Government, Financial Services, Banking, Utilities, Digital Services  dan BUMN telah memakai layanan  cloud services  dari Telkom Group. Adapun, kedepannya, Telkom Group akan terus mengembangkan kapasitas dan kapabilitas  cloud services  agar terus dapat memenuhi  demand  dari pasar.
TLKM
menyiapkan capex sebesar 25% dari target pendapatan tahun ini yakni sekitar Rp143,94 triliun atau sekitar Rp 35,9 triliun. Sebagian besar pendanaan capex tahun ini akan berasal dari dana internal dan sisanya berasal dari pendanaan eksternal khususnya perbankan.
Sebesar 30% hingga 40% dari capex akan dialokasikan untuk pengembangan jaringan 4G dan sistem IT. Selain itu, tahun 2021 ini Telkom juga akan membangun jaringan akses, jaringan backbone, pembangunan data center, dan pengembangan bisnis menara.
Melansir  Bisnis , pada sembilan bulan pertama 2020 pendapatan TLKM
tercatat menyusut 2,62 persen menjadi Rp99,94 triliun dibanding periode yang sama tahun sebelumnya yang mencapai Rp102,63 triliun.
Kinerja topline TLKM
terseret penurunan pendapatan dari dua segmen yakni pendapatan telepon yang anjlok 28,76 persen, dari semula Rp21,25 triliun menjadi Rp15,13 triliun dan pendapatan jaringan turun 20 persen, menjadi Rp1,07 triliun dari sebelumnya Rp1,34 triliun.
Kendati demikian, dari sisi bottomline, laba tahun berjalan yang dapat diatribusikan kepada entitas pemilik TLKM
masih tumbuh tipis 1,34 persen, dari Rp16,45 triliun menjadi Rp16,67 triliun. (winardi)","positif"
"52","Kinerja Telkom (TLKM) akan diuntungkan seiring kebutuhan data jaringan 4G yang tinggi","KONTAN.CO.ID - JAKARTA. PT Telkom Indonesia Tbk (TLKM) pada tahun ini kembali menjadikan pengembangan segmen mobile, khususnya 4G sebagai fokus perusahaan. Bahkan, TLKM telah menganggarkan belanja modal atau capital expenditure (capex) sebesar 25% dari target pendapatan tahun ini untuk rencana tersebut. â€œSejalan dengan perkiraan kami, TLKM tetap fokus pada ekspansi capex dan investasi 4G seiring dengan meningkatnya kebutuhan data di jaringan ini. Permintaan data diperkirakan meningkat 18% dan 22% masing-masing untuk tahun ini dan tahun depan,â€ kata analis Mirae Asset Sekuritas Lee Young Jun dalam risetnya pada 1 Desember 2020.  Namun, tak bisa dipungkiri, kue kenaikan permintaan tersebut memang masih harus dibagi dengan operator lain. Namun, dengan adanya pembatasan batas atas dan bawah tarif operator dalam omnibus law dinilai akan menguntungkan TLKM. Jika pembatasan ini diberlakukan, Lee melihat pilihan untuk layanan brand premium dan non-premium menjadi lebih mudah. Hal ini pada akhirnya akan menguntung TLKM. Sementara analis BRI Danareksa Sekuritas Niko Margonis dalam risetnya pada 13 Januari 2021 menuliskan, bisnis Telkomsel di luar segmen mobile juga berpotensi mengalami pertumbuhan yang baik pada tahun ini. Salah satunya adalah pada produk telekomunikasi yang ke depan akan semakin atrktif. â€œKami melihat, Singtel akan membuat penawaran dengan mengadopsi langkah yang lebih kasual pada segmen game dengan â€œStormsâ€ sebagai penerbit game yang punya superapp. Diharapkan, langkah ini akan segera diluncurkan di Indonesia dalam beberapa bulan ke depan melalui Telkomsel,â€ tulis Niko dalam risetnya Niko juga bilang, TLKM berhasil memulihkan kinerja pada segmen enterprise di kuartal III-2020 dan berpotensi mencatatkan pertumbuhan high single digit pada tahun ini. Pertumbuhan ini nantinya akan disokong oleh layanan seperti keamanan, cloud dan pusat data. Ia menilai, langkah ini jauh lebih efektif ketimbang model sebelumnya yang bergantung pada penjualan merchandise. TLKM juga menambah portofolio layanannya di luar Indihome lewat layanan yang disebut Orbit. Saat ini, Orbit memang masih dalam tahap awal mendapatkan pelanggan, dan Niko menilai ini akan melengkapi layanan TLKM. Walaupun harga ARPU Orbit lebih mahal dari Telkomsel, namun harganya tetap lebih murah dibanding ARPU Indihome. Sehingga ini pada akhirnya akan semakin menjangkau seluruh segmen yang ada â€œApalagi TLKM juga akan diuntungkan dengan prospek Mitratel setelah berhasil menambah jumlah menara dengan mengakuisisi menara dari Tsel. Selain itu, langkah Telkom untuk membuat Mitratel melantai di bursa pada kuartal IV-2021 atau awal 2022 akan membuka beberapa valuasi yang lebih tinggi dari harga Telkom saat ini,â€ imbuh Niko. Niko memproyeksikan pendapatan TLKM pada tahun 2020 dan 2021 masing-masing sebesar Rp 134,93 triliun dan Rp 142,54 triliun. Adapun, untuk laba bersih TLKM akan sebesar Rp 20,66 triliun pada 2020 dan Rp 24,51 pada 2021. Sementara Lee memprediksikan pendapatan TLKM tahun ini sekitar Rp 143,94 triliun. Estimasi ini naik sekitar 6% dibanding perkiraan pendapatan tahun lalu, Rp 135,57 triliun. Sementara untuk laba bersih, Lee memproyeksikan akan naik dari Rp 18,76 triliun menjadi Rp 20,51 triliun. Lee memberikan rekomendasi buy saham TLKM dengan target harga Rp 5.100 per saham. Sedangkan Niko juga memberi rekomendasi buy dengan target harga Rp 4.600 per saham.  Adapun saham TLKM pada perdagangan Kamis (4/3) ditutup melemah 2,33% ke Rp 3.360 per saham.    Ini sektor sektor yang akan melaju di Bursa Efek Indonesia","positif"
"53","Rencanakan IPO di Kuartal IV - Telkom Terus Percantik Pertumbuhan Bisnis Mitratel","Keseriusan PT Telkom Indonesia (Persero) Tbk (TLKM) membawa anak usahnya PT Dayamitra Telekomunikasi (Mitratel) go public dibuktikan dengan mempersiapkan anak usaha untuk menjadi perusahaan besar di bidang menara. “Untuk mempersiapkan diri, Mitratel tengah mengejar pertumbuhan secara organik dan anorganik untuk menjadi perusahaan menara telekomunikasi terbesar di Indonesia saat IPO,”kata Direktur Keuangan Telkom Indonesia, Heri Supriadi di Jakarta, kemarin.

Disampaikannya, rencana penawaran umum perdana saham atau initial public offering (IPO) Mitratel akan sesuai jadwal pada kuartal IV/2021 atau paling lambat awal 2022. Adapun saat ini, tenancy ratio menara di Mitratel disebut Heri berada pada level 1,5 kali. Namun, rasio itu akan terus meningkat seiring dengan bertambahnya jumlah menara di bawah Mitratel. Adapun, saat ini lebih dari 6.000 menara dari Telkomsel dan Telkom siap untuk ditransferkan ke Mitratel.

Menurut Heri, dengan tambahan menara dari lelang di pasar akan menjadikan Mitratel sebagai perusahaan menara dengan portofolio paling gemuk di Indonesia. Rencananya Mitratel akan melepas sekitar 20% saham baru ke pasar modal dalam aksi IPO. Perseroan menyatakan dana dari aksi korporasi itu akan digunakan untuk pengembangan dan pengoptimalan bisnis menara dan digital di masa depan.

Selain pertumbuhan secara anorganik, Heri menambahkan bahwa Mitratel juga mempersiapkan diri untuk menjadi perusahaan menara paling efisien di Indonesia sembari menyambut pegelaran 5G. Belum lama ini, Telkomsel mengumumkan finalisasi pengalihan kepemilikan menara telekomunikasi kepada Mitratel sebagai tindak lanjut dari perjanjian jual beli bersyarat (Conditional Sale and Purchase Agreement/CSPA) yang telah disepakati kedua pihak pada Oktober 2020.

Direktur Utama Telkomsel, Setyanto Hantoro mengatakan, rampungnya aksi korporasi bersama Mitratel sebagai penguat fokus perusahaan selaku leading digital telco company dalam membuka lebih banyak kesempatan bagi masyarakat melalui tiga pilar digital yang menjadi prioritas Telkomsel, yaitu digital connectivity, digital platform, dan digital service.“Pengalihan kepemilikan menara telekomunikasi ini juga diharapkan mampu mengakselerasikan penataan portofolio di dalam Telkom Group sekaligus memperkuat kolaborasi di dalam Telkom Group secara holistik.”ujarnya.

Disampaikan Setyanto, aksi korporasi tersebut menjadi bagian dari upaya penataan portofolio bisnis yang akan memberikan dampak positif bagi keberlangsungan dan pengembangan portofolio bisnis kedua perusahaan secara jangka panjang. Pengalihan kepemilikan menara telekomunikasi dari Telkomsel ke Mitratel sendiri dilakukan secara bertahap sesuai dengan kesepakatan antara kedua belah pihak. Tahap pertama sudah dilaksanakan pada Oktober 2020 lalu yang melibatkan pengalihan 1.911 menara.

Kini, tahap finalisasi dilakukan dengan mengalihkan kepemilikan dari 4.139 menara, sehingga secara keseluruhan terdapat 6.050 menara telekomunikasi yang secara resmi telah dialihkan Telkomsel ke Mitratel. Melalui inisiatif tersebut, baik Telkomsel maupun Mitratel dapat semakin fokus terhadap bisnis inti dan strategi korporasinya masing-masing. Selain itu, aksi korporasi ini juga menjadi momentum bagi kedua perusahaan dalam memperkuat pengelolaan aset dan lini bisnis yang mampu menumbuhkan kinerja organisasi yang lebih ideal, produktif, efektif, dan efisien.  (bi/bani)","positif"
"54","Kabar Aksi Korporasi Bikin Asing & Lokal Borong Saham Telkom","Saham PT Telkom Indonesia Tbk (TLKM), melanjutkan tren penguatan pada sesi I perdagangan hari ini, Rabu (24/2/2021). Kabar mengenai aksi korporasi perseroan, menjadi katalis positif bagi saham emiten telekomunikasi ini.Menurut data Bursa Efek Indonesia (BEI), saham TLKM menguat sebesar 1,73% ke posisi Rp 3.530/unit pada sesi I, Rabu (24/2) pukul 09.51 WIB.Investor asing ramai-ramai mengoleksi saham TLKM dengan melakukan aksi beli bersih (net foreign buy) sebesar Rp 88,60 miliar.Sementara kemarin, Selasa (23/2), TLKM berhasil ditutup di peringkat ketiga top gainers. Saham emiten telekomunikasi pelat merah ini berhasil melesat 9,46% ke Rp 3.470/unit dengan nilai transaksi yang tinggi, sebesar 1,2 triliun.Menguatnya harga saham TLKM terjadi seiring dengan adanya beberapa rencana strategis TLKM, termasuk akan dilakukannya initial public offering (IPO) dua anak usahanya di bursa.Sebelumnya, manajemen Telkom dalam acara ""Prospek Pasar Modal 2021"" yang digelar CNBC Indonesia, Senin (22/2/21), yang digelar CNBC Indonesia membeberkan beberapa rencana strategis yang bisa menjadi pertimbangan investor.Dari sisi penawaran umum saham perdana atau initial public offering (IPO), Direktur Strategic Portfolio Telkom Indonesia Budi Setyawan Wijaya mengatakan perseroan akan membawa dua anak usaha untuk IPO, satu di Bursa Efek Indonesia (BEI), dan satu di bursa Asia tanpa menyebutkan nama bursa.""Tahun ini ada 2 [IPO], satu di Indonesia, satu lagi di Asia. Saya ga bisa naming [sebutkan nama] insya Allah tahun ini kejadian [realisasi]. Kalau dilihat kesiapan faktanya sudah beberapa go public,"" katanya.Adapun Telkom memang telah merencanakan untuk melepas anak usahanya PT Dayamitra Telekomunikasi (Mitratel) ke pasar modal. Ditargetkan eksekusinya akan dilakukan pada kuartal terakhir tahun ini, atau paling lambat pada kuartal pertama 2022.Mitratel yang merupakan anak usaha Telkom yang bergerak di bidang penyediaan infrastruktur telekomunikasi memiliki menara telekomunikasi yang tersebar di berbagai wilayah dan melayani semua operator seluler di Indonesia dengan jumlah lebih dari 22.000 menara telekomunikasi.Setelah IPO, Mitratel berpotensi menjadi perusahaan menara telekomunikasi terbesar di Indonesia, dengan jumlah menara 34.025. Hasil penggabungan 18.000 menara dimiliki oleh Telkomsel dan 16.025 sisanya milik Mitratel.Selanjutnya, Telkom Indonesia melalui MDI Ventures akan tetap fokus menyuntikkan modal kepada startup, melihat potensi yang bisa dilakukan dengan startup digital terutama di masa pandemi.""Kita punya MDI Ventures di mana dia mengelola dana investasi Telkom yang lumayan besar, kita sudah investasi di 50-an perusahaan, berpotensi ke depannya bisa menopang revenue driver Telkom seperti yang disampaikan Pak Pandu Sjahrir [Komisaris BEI],"" katanya.Kemudian, berkaitan jaringan 5G, Budi Setyawan mengatakan
 untuk mengembangkan jaringan 5G di Indonesia banyak elemen yang harus disiapkan.""5G tidak hanya lisensi. Kita harus siapkan infrastruktur misalnya fiber optic karena ini komponen penting yang akan menghubungkan mini pool dengan 5G,"" ujarnya.""Kita juga siapkan data center di daerah. Jadi, aset properti sentral-sentra di daerah mulai dibangun menjadi regional data center agar lebih dekat ke pasar (market). Use case untuk industri agar terbantu dengan 5G dan efisien. itu hal-hal yang disiapkan untuk menyambut 5G.""Menurut Budi, bisnis 5G ke depan cukup besar.""Konsumer pelanggan butuh kecepatan (speed) tinggi sehingga ketika mobile dapat akses tinggi.Ketika di rumah butuh akses cepat. Kalau ada 5G, ada VWA, terus untuk beberapa aplikasi virtual reality hanya bisa disediakan maksimum oleh 5G,"" terangnya.Dari sisi enterprise (korporasi), dengan adanya internet of things (IoT), dibutuhkan teknologi mendukung 5G yang tepat. ""Secara size, saat ini belum bisa melihat angka. Secara kebutuhan, itu ada. baik di sisi konsumer atau enterprise,"" jelasnya.","positif"
"55","Rencana Bisnis Jumbo Terungkap, Saham TLKM Terbang 9%","Saham PT Telkom Indonesia Tbk (TLKM) berhasil melesat kencang pada perdagangan hari ini, Selasa (23/2/2021) setelah terungkapnya rencana bisnis TLKM ke depan.Dalam acara ""Prospek Pasar Modal 2021"" yang digelar CNBC Indonesia, Senin (22/2/21) Direksi Telkom membeberkan beberapa rencana strategis Telkom, mulai dari penawaran perdana (IPO) 2 anak usahanya, modal ventura Telkom, hingga mengenai jaringan 5G.Data perdagangan mencatat pada perdagangan hari ini saham TLKM melesat kencang 9,46% ke level harga Rp 3.470/unit dengan kapitalisasi pasar mencapai Rp 343 triliun.Tidak hanya melesat kencang, saham TLKM juga ramai diperdagangkan dengan nilai transaksi mencapai Rp 1,2 triliun dan menjadi saham dengan transaksi paling ramai di bursa pada perdagangan hari ini.Investor asing juga tercatat masuk besar-besaran ke saham TLKM dengan pembelian bersih mencapai Rp 609 miliar pada perdagangan hari ini dan menjadi saham yang paling banyak diborong asing. Selama tahun berjalan, asing sudah memborong TLKM sebanyak Rp 2,07 triliun.Sebelumnya, manajemen Telkom dalam acara yang digelar CNBC Indonesia membeberkan beberapa rencana strategis yang bisa menjadi pertimbangan investor.Dari sisi penawaran umum saham perdana atau initial public offering (IPO), Direktur Strategic Portfolio Telkom Indonesia Budi Setyawan Wijaya mengatakan perseroan akan membawa dua anak usaha untuk IPO, satu di Bursa Efek Indonesia (BEI), dan satu di bursa Asia tanpa menyebutkan nama bursa.""Tahun ini ada 2 [IPO], satu di Indonesia, satu lagi di Asia. Saya ga bisa naming [sebutkan nama] insya Allah tahun ini kejadian [realisasi]. Kalau dilihat kesiapan faktanya sudah beberapa go public,"" katanya.Adapun Telkom memang telah merencanakan untuk melepas anak usahanya PT Dayamitra Telekomunikasi (Mitratel) ke pasar modal. Ditargetkan eksekusinya akan dilakukan pada kuartal terakhir tahun ini, atau paling lambat pada kuartal pertama 2022.Mitratel yang merupakan anak usaha Telkom yang bergerak di bidang penyediaan infrastruktur telekomunikasi memiliki menara telekomunikasi yang tersebar di berbagai wilayah dan melayani semua operator seluler di Indonesia dengan jumlah lebih dari 22.000 menara telekomunikasi.Selanjutnya, Telkom Indonesia melalui MDI Ventures akan tetap fokus menyuntikkan modal kepada startup, melihat potensi yang bisa dilakukan dengan startup digital terutama di masa pandemi.""Kita punya MDI Ventures di mana dia mengelola dana investasi Telkom yang lumayan besar, kita sudah investasi di 50-an perusahaan, berpotensi ke depannya bisa menopang revenue driver Telkom seperti yang disampaikan Pak Pandu Sjahrir [Komisaris BEI],"" katanya.Kemudian, berkaitan jaringan 5G, Budi Setyawan mengatakan
 untuk mengembangkan jaringan 5G di Indonesia banyak elemen yang harus disiapkan.""5G tidak hanya lisensi. Kita harus siapkan infrastruktur misalnya fiber optic karena ini komponen penting ayang akan menghubungkan mini pool dengan 5G,"" ujarnya.""Kita juga siapkan data center di daerah. Jadi, aset properti sentral-sentra di daerah mulai dibangun menjadi regional data center agar lebih dekat ke pasar (market). Use case untuk industri agar terbantu dengan 5G dan efisien. itu hal-hal yang disiapkan untuk menyambut 5G.""Menurut Budi, bisnis 5G ke depan cukup besar.""Konsumer pelanggan butuh kecepatan (speed) tinggi sehingga ketika mobile dapat akses tinggi.Ketika di rumah butuh akses cepat. Kalau ada 5G, ada VWA, terus untuk beberapa aplikasi virtual reality hanya bisa disediakan maksimum oleh 5G,"" terangnya.Dari sisi enterprise (korporasi), dengan adanya internet of things (IoT), dibutuhkan teknologi mendukung 5G yang tepat. ""Secara size, saat ini belum bisa melihat angka. Secara kebutuhan, itu ada. baik di sisi konsumer atau enterprise,"" jelasnya.","positif"
"56","IHSG Ditutup Menguat, Saham TLKM Paling Laris Diborong Asing","JAKARTA, KOMPAS.com â€“ Indeks Harga Saham Gabungan (IHSG) ditutup menguat pada penutupan perdagangan di Bursa Efek Indonesia (BEI), Selasa (23/2/2021).Melansir RTI, IHSG ditutup naik 0,28 persen (17,4 poin) di level 6.272,8. Total transaksi hingga sore ini mencapai Rp 12,9 triliun dengan volume 14,5 miliar. Net buy asing tercatat sebesar Rp 469,4 miliar di seluruh pasar.Saham Telkom Indonesia (TLKM) menguat signifikan dengan kenaikan 9,4 persen di level Rp 3.470 per saham atau naik 300 poin. Total transaksi TLKM hari ini sebesar Rp 1,2 triliun dengan volume 354,9 miliar. Asing melakukan aksi borong saham TLKM sebesar Rp 609,18 miliar.Sementara itu, sektor infrastruktur menyumbang kenaikan IHSG paling tinggi sore ini dengan persentase 4,6 persen, kemudian dilanjutkan oleh sektor agri, aneka industri, dan basic industri masing-masing 0,6 persen.Top gainer sore ini adalah saham Elnusa (ELSA) dengan kenaikan 4,9 persen di level Rp 424 per saham. Kemudian, saham XL Axiata (EXCL) menguat 4,23 persen di level Rp 2.220 per saham dan Bank BTN (BBTN) juga naik 3,6 persen di level Rp 2.000 per saham.Top losers sore ini, antara lain, saham Bank Jago (ARTO) dengan penurunan 6,8 persen di level Rp 10.150 per saham. Kemudian, Harum Energy (HRUM) yang melemah 6,7 persen di level Rp 6.900 per saham, dan Indosat (ISAT) juga terkoreksi 3,3 persen di level Rp 5.800 per saham.Selain TLKM, asing juga borong saham Bank BRI (BBRI) sebesar Rp 42 miliar, Vale Indonesia (INCO) Rp 33 miliar dan Indah Kiat Pulp and Paper (INKP) sebesar Rp 24,3 miliar.Sementara saham yang paling banyak di lepas asing sore ini adalah saham Bank Mandiri (BMRI) sebesar Rp 126,8 miliar, Astra International (ASII) sebesar Rp 43,5 miliar dan Indofood CBP Sukses Makmur (ICBP) sebesar Rp 30 miliar.Adapun Bursa Asia sore ini dominasi positif dengan kenaikan indeks Hang Seng Hong Kong 1,03 persen, dan Strait Times 0,7 persen. Sementara itu, indeks Shanghai Komposit melemah 0,71 persen.Sedangkan Bursa Eropa sore ini mixed dengan kenaikan indeks FTSE 0,36 persen, sementara Xetra Dax turun 0,42 persen.Disclaimer: Artikel ini bukan untuk mengajak membeli atau menjual saham. Segala rekomendasi dan analisa saham berasal dari analis dari sekuritas yang bersangkutan, dan Kompas.com tidak bertanggung jawab atas keuntungan atau kerugian yang timbul. Keputusan investasi ada di tangan Investor. Pelajari dengan teliti sebelum membeli/menjual saham.","positif"
"57","Terungkap! Ini Strategi Telkom dalam Pendanaan Startup","PT Telkom Indonesia Tbk (TLKM) melalui MDI Ventures akan tetap fokus menyuntikkan modal kepada startup, melihat potensi yang bisa dilakukan dengan startup digital terutama di masa pandemi.""Di masa pandemi ini banyak kebutuhan masyarakat dengan servis yang dideliver startup, kita punya MDI dimana dia mengelola dana investasi telkom yang lumayan besar, kita sudah investasi 50-an perusahaan yang berpotensi ke depannya bisa menopang revenue driver Telkom,"" ujar Direktur Strategic Portfolio Telkom Indonesia, Budi Setyawan Wijaya dalam diskusi digital CNBC Indonesia bertajuk ""Capital Market Outlook 2021,"" Senin (22/2/2021).Modal ventura milik Telkom diakui berbeda dengan yang sudah ada. Terdapat Corporate Venture Capital (CVC) dimana pertama kali yang akan dinilai adalah aspek sinergi. Terutama bagaimana memperkuat ekosistem digital yang menjadi prasyarat Telkom dalam mencari aset yang akan disuntik modal.""Tidak semata capital gain, tapi juga dari sisi sinergi,"" ujarnya singkat.Dana kelolaan saat ini mencapai US$ 600 juta yang bekerjasama dengan berbagai pihak. Diantaranya Kookmin Bank asal Korea. Serta ada pula perusahaan investasi asal negeri kincir angin, Belanda.""Total US$ 830 juta. Tersebar di berbagai digital sektor antara lain healthcare, agriculture, dan lainnya,"" tuturnya.Tahun ini, Telkom akan tetap fokus di pasar domestik. Hal ini tak lain karena melihat pangsa pasar domestik masih sangat besar. ""Ekosistem berkembang bagus. Fintech, kesehatan tentu saja. Logistik juga. Ini area akan fokus 2021,"" pungkasnya.Dalam kesempatan yang sama Direktur Strategic Portfolio Telkom Indonesia, Budi Setyawan Wijaya mengatakan suntikan modal yang disuntikkan kepada Gojek Indonesia tak semata-mata mencari keuntungan saja.""Bahwa semangat kita semata-mata tak hanya ingin gain capital. Sudah mulai muncul service hasil sinergi dengan Gojek. Paket siap online agar di convert jadi pelanggan Telkom. Akan ada lagi kerjasama di area lain, digital advertising,"" ujarnya.Telkom menurutnya akan terus mendorong perusahaan dalam negeri ikut berpartisipasi masuk ke perusahaan unicorn lainnya. Apalagi, ""kue"" terkait hal ini di Indonesia masih sangat minim.""Kalau di Amerika unicorn sudah ordernya ratusan. Di kita market sebesar ini masih sangat kecil. Ini potensi besar, dengan market sebesar RI untuk arena pemain digital pemain unicorn baru,"" imbuhnya.","positif"
"58","Mantap! Telkom Siap Bawa 2 Anak Usaha IPO, Satu di Bursa Asia","Direktur Strategic Portfolio PT Telkom Indonesia (Persero) Tbk (TLKM) Budi Setyawan Wijaya mengatakan perseroan akan membawa dua anak usaha untuk mencatatkan saham perdana atau initial public offering (IPO), satu di Bursa Efek Indonesia (BEI), dan satu di bursa Asia tanpa menyebutkan nama bursa.""Sebenarnya beberapa anak usaha kita sudah go public, ada di Jepang, di Australia,"" katanya dalam forum ""Prospek Pasar Modal 2021"" yang digelar CNBC Indonesia, Senin (22/2/2021).""Tahun ini ada 2 [IPO], satu di Indonesia, satu lagi di Asia. Saya ga bisa naming [sebutkan nama] insya Allah tahun ini kejadian [realisasi]. Kalau dilihat kesiapan faktanya sudah beberapa go public,"" katanya lagi.Sebelumnya Kementerian Badan Usaha Milik Negara (BUMN) memang sudah menyebutkan TLKM akan melakukan pemisahan (spin off) beberapa anak usahanya di bidang infrastruktur melalui pasar modal, yang merupakan bagian dari restrukturisasi korporasi.Spin-off ini dilakukan dengan mencatatkan saham perdana (initial public offering/IPO) di Bursa Efek Indonesia (BEI).Anak usaha Telkom di bidang infrastruktur akan melakukan IPO dan akan ditawarkan kepada investor global melalui Indonesia Investment Authority (INA), dana abadi atau Sovereign Wealth Fund (SWF) yang dibentuk pemerintahan Presiden Jokowi.Adapun Telkom memang telah merencanakan untuk melepas anak usahanya PT Dayamitra Telekomunikasi (Mitratel) ke pasar modal. Ditargetkan eksekusinya akan dilakukan pada kuartal terakhir tahun ini, atau paling lambat pada kuartal pertama 2022.Mitratel yang merupakan anak usaha Telkom yang bergerak di bidang penyediaan infrastruktur telekomunikasi memiliki menara telekomunikasi yang tersebar di berbagai wilayah dan melayani semua operator seluler di Indonesia dengan jumlah lebih dari 22.000 menara telekomunikasi.Setelah IPO, Mitratel berpotensi menjadi perusahaan menara telekomunikasi terbesar di Indonesia, dengan jumlah menara 34.025. Hasil penggabungan 18.000 menara dimiliki oleh Telkomsel dan 16.025 sisanya milik Mitratel.Lebih lanjut Budi Setyawan menjelaskan bahwa banyak potensi yang bisa dilakukan dengan startup digital mengingat di masa pandemi ini banyak kebutuhan masyarakat dengan servis yang di-delivered oleh startup.""Kita punya MDI Ventures di mana dia mengelola dana investasi Telkom yang lumayan besar, kita sudah investasi di 50-an perusahaan, berpotensi ke depannya bisa menopang revenue driver Telkom seperti yang disampaikan Pak Pandu Sjahrir [Komisaris BEI],"" katanya.","positif"
"59","Telkom Dukung Digitalisasi Vaksin Hingga Indonesia Bergerak","Jakarta, CNBC Indonesia- PT Telkom Indonesia (Persero) Tbk (TLKM) terus mendorong percepatan transformasi digital di BUMN, salah satunya melalui digitalisasi SPBU Pertamina hingga melakukan digitalisasi proses distribusi vaksi di program vaksinasi Indonesia serta mendorong pengembangan platform IndonesiaBergerak.com yang menjadi media pelaporan warga terkait perkembangan Covid-19 di Indonesia.Seperti apa arah pengembangan digitalisasi Telkom? Selengkapnya simak dialog Aline Wiratmaja dengan Direktur Enterprise & Business Service Telkom Indonesia, Edi Witjara dan Founder & CEO Of Qlue, Rama Raditya dalam Power Lunch,CNBCIndonesia (Rabu, 27/01/2021)","positif"
"60","3 Fokus Pengembangan Transformasi Digital Telkom","Jakarta, CNBC Indonesia- PT Telkom Indonesia (Persero) Tbk (TLKM) memaknai transformasi Digital dalam 3 hal yaitu transformasi melalui technology shifting, perubahan ekosistem yang pada akhirnya bisa menopang keberlangsungan bisnis industri.Saat ini, dalam menopang transformasi digital di Indonesia khususnya enterprise, Telkom fokus di 3 segmen yaitu korporate besar dengan jumlah pelanggan lebih dari 1.900, segmen pemerintah dengan pelanggan lebih dari 1.000 serta segment UMKM dengan kustomer lebih dari 300 ribu.Seperti apa pengembangan digital transformasi? Selengkapnya simak dialog Aline Wiratmaja dengan Direktur Enterprise & Business Service Telkom Indonesia, Edi Witjara dan Founder & CEO Of Qlue, Rama Raditya dalam Power Lunch,CNBCIndonesia (Rabu, 27/01/2021)","positif"
