"Normal","Status"
"tingkat kerja telkom tlkm fokus kembang layan platform cloud services iaas paas layan smart platform security ai vice president coorate tlkm pujo pramono kembang kapabilitas internal telkom group beartner main global milik kapabilitas bidang cloud services sesuai rencana jangka persero depan telkom kembang layan platform cloud services iaas paas serta layan smart platform security ai contoh telkomgroup kembang layan cloud flou floucloud akses masyarakat luas kutip pujo muka besar investasi gelontor khusus cloud telkom group milik data center sebar internasional singapore hongkong pujo lanjut wujud serius telkom group main sektor digital platform investasi bangun hyperscale data center luas meter persegi total kapasitas capai rack catat puluh usaha domestik internasional sektor cloud telkom government financial services banking utilities digital services pakai layan cloud services telkom group depan telkom group kembang kapasitas kapabilitas cloud services penuh demand pasar tlkm capex target dapat dana capex asal dana internal sisa asal dana eksternal perban capex alokasi kembang jaring sistem telkom bangun jaring akses jaring backbone bangun data center kembang menara lansir sembilan dapat tlkm catat susut persen banding periode capai kerja topline tlkm seret turun dapat segmen dapat telepon anjlok persen dapat jaring turun persen kendati sisi bottomline laba jalan diatribusikan entitas milik tlkm tumbuh tipis persen wardi","positif"
"telkom tlkm jadi kembang segmen mobile fokus usaha tlkm anggar belanja modal capital expenditure capex target dapat rencana jalan kira tlkm fokus ekspansi capex investasi iring tingkat butuh data jaring minta data tingkat  analis mirae asset sekuritas lee young jun riset desember dipungkiri kue naik minta bagi operator batas batas tarif operator omnibus law nilai untung tlkm batas laku lee pilih layan brand premium non premium mudah untung tlkm analis bri danareksa sekuritas niko margonis riset januari tulis telkomsel segmen mobile beotensi alami tumbuh salah satu produk telekomunikasi atrktif kami singtel tawar adopsi langkah kasual segmen game storms terbit game superapp harap langkah luncur telkomsel  tulis niko riset niko bilang tlkm hasil pulih kerja segmen enterise kuartal iii beotensi catat tumbuh high single digit tumbuh sokong layan aman cloud pusat data nilai langkah efektif ketimbang model gantung jual merchandise tlkm tambah portofolio layan indihome layan orbit orbit tahap langgan niko nilai lengkap layan tlkm harga au orbit mahal telkomsel harga murah banding au indihome jangkau segmen apalagi tlkm untung prospek mitratel hasil tambah menara akuisisi menara tsel langkah telkom mitratel lantai bursa kuartal iv buka valuasi harga telkom  imbuh niko niko proyeksi dapat tlkm laba bersih tlkm lee prediksi dapat tlkm estimasi naik banding kira dapat laba bersih lee proyeksi naik lee rekomendasi buy saham tlkm target harga saham niko rekomendasi buy target harga saham saham tlkm dagang tutup lemah saham sektor sektor laju bursa efek","positif"
"serius telkom persero tlkm bawa anak usah dayamitra telekomunikasi mitratel go public bukti anak usaha usaha bidang menara  mitratel kejar tumbuh organik anorganik usaha menara telekomunikasi besar ipo  uang telkom heri supriadi kemarin sampai rencana tawar perdana saham initial public offering ipo mitratel sesuai jadwal kuartal iv lambat tenancy ratio menara mitratel heri level kali rasio tingkat iring tambah menara mitratel menara telkomsel telkom transfer mitratel heri tambah menara lelang pasar jadi mitratel usaha menara portofolio gemuk rencana mitratel lepas saham pasar modal aksi ipo persero dana aksi koorasi kembang optimal menara digital tumbuh anorganik heri mitratel usaha menara efisien sembari sambut gelar telkomsel umum final alih milik menara telekomunikasi mitratel tindak janji jual beli syarat conditional sale purchase agreement cspa pakat oktober utama telkomsel setyanto hantoro rampung aksi koorasi mitratel kuat fokus usaha leading digital telco company buka sempat masyarakat pilar digital prioritas telkomsel digital connectivity digital platform digital service  alih milik menara telekomunikasi harap akselerasi tata portofolio telkom group kuat kolaborasi telkom group holistik  setyanto aksi koorasi upaya tata portofolio dampak positif langsung kembang portofolio usaha jangka alih milik menara telekomunikasi telkomsel mitratel tahap sesuai sepakat belah tahap laksana oktober libat alih menara tahap final alih milik menara menara telekomunikasi resmi alih telkomsel mitratel inisiatif telkomsel mitratel fokus inti strategi koorasinya aksi koorasi momentum usaha kuat kelola aset lini tumbuh kerja organisasi ideal produktif efektif efisien bi bani","positif"
"saham telkom tlkm lanjut tren kuat sesi dagang kabar aksi koorasi persero katalis positif saham emiten telekomunikasi data bursa efek bei saham tlkm kuat posisi unit sesi wib investor asing ramai ramai koleksi saham tlkm aksi beli bersih net foreign buy kemarin tlkm hasil tutup peringkat tiga top gainers saham emiten telekomunikasi pelat merah hasil lesat unit nilai transaksi kuat harga saham tlkm iring rencana strategis tlkm laku initial public offering ipo anak usaha bursa manajemen telkom acara prospek pasar modal gelar gelar beber rencana strategis timbang investor sisi tawar saham perdana initial public offering ipo strategic portfolio telkom budi setyawan wijaya persero bawa anak usaha ipo bursa efek bei bursa nama bursa ipo ga naming sebut nama insya allah jadi realisasi kesiap fakta go public telkom rencana lepas anak usaha dayamitra telekomunikasi mitratel pasar modal target eksekusi kuartal lambat kuartal mitratel anak usaha telkom gerak bidang sedia infrastruktur telekomunikasi milik menara telekomunikasi sebar wilayah layan operator seluler menara telekomunikasi ipo mitratel beotensi usaha menara telekomunikasi besar menara hasil gabung menara milik telkomsel sisa milik mitratel telkom mdi ventures fokus suntik modal startup startup digital pandemi mdi ventures kelola dana investasi telkom lumayan investasi usaha beotensi depan topang revenue driver telkom pandu sjahrir bei kait jaring budi setyawan kembang jaring elemen siap lisensi siap infrastruktur fiber optic komponen hubung mini pool siap data center daerah aset properti sentral sentra daerah bangun regional data center pasar market use case industri bantu efisien siap sambut budi konsumer langgan butuh cepat speed mobile akses rumah butuh akses cepat vwa aplikasi virtual reality sedia maksimum terang sisi enterise koorasi internet things iot butuh teknologi dukung size angka butuh sisi konsumer enterise","positif"
"saham telkom tlkm hasil lesat kencang dagang ungkap rencana tlkm acara prospek pasar modal gelar direksi telkom beber rencana strategis telkom tawar perdana ipo anak usaha modal ventura telkom jaring data dagang catat dagang saham tlkm lesat kencang level harga unit kapital pasar capai lesat kencang saham tlkm ramai dagang nilai transaksi capai saham transaksi ramai bursa dagang investor asing catat masuk besar saham tlkm beli bersih capai dagang saham borong asing jalan asing borong tlkm manajemen telkom acara gelar beber rencana strategis timbang investor sisi tawar saham perdana initial public offering ipo strategic portfolio telkom budi setyawan wijaya persero bawa anak usaha ipo bursa efek bei bursa nama bursa ipo ga naming sebut nama insya allah jadi realisasi kesiap fakta go public telkom rencana lepas anak usaha dayamitra telekomunikasi mitratel pasar modal target eksekusi kuartal lambat kuartal mitratel anak usaha telkom gerak bidang sedia infrastruktur telekomunikasi milik menara telekomunikasi sebar wilayah layan operator seluler menara telekomunikasi telkom mdi ventures fokus suntik modal startup startup digital pandemi mdi ventures kelola dana investasi telkom lumayan investasi usaha beotensi depan topang revenue driver telkom pandu sjahrir bei kait jaring budi setyawan kembang jaring elemen siap lisensi siap infrastruktur fiber optic komponen ayang hubung mini pool siap data center daerah aset properti sentral sentra daerah bangun regional data center pasar market use case industri bantu efisien siap sambut budi konsumer langgan butuh cepat speed mobile akses rumah butuh akses cepat vwa aplikasi virtual reality sedia maksimum terang sisi enterise koorasi internet things iot butuh teknologi dukung size angka butuh sisi konsumer enterise","positif"
"indeks harga saham gabung ihsg tutup kuat tutup dagang bursa efek bei lansir rti ihsg tutup naik persen poin level total transaksi sore capai volume net buy asing catat pasar saham telkom tlkm kuat signifikan naik persen level saham naik poin total transaksi tlkm volume asing aksi borong saham tlkm sektor infrastruktur sumbang naik ihsg sore persentase persen lanjut sektor agri industri basic industri persen top gainer sore saham elnusa elsa naik persen level saham saham xl axiata excl kuat persen level saham btn bbtn naik persen level saham top losers sore saham jago arto turun persen level saham harum energy hrum lemah persen level saham indosat isat koreksi persen level saham tlkm asing borong saham bri bbri vale inco indah kiat pulp paper inkp saham lepas asing sore saham mandiri bmri astra international asi indofood cbp sukses makmur icbp bursa sore dominasi positif naik indeks hang seng hong kong persen strait times persen indeks shanghai komposit lemah persen bursa eropa sore mixed naik indeks ftse persen xetra dax turun persen disclaimer artikel ajak beli jual saham rekomendasi analisa saham asal analis sekuritas sangkut tanggung untung rugi timbul putus investasi tangan investor ajar teliti beli jual saham","positif"
"telkom tlkm mdi ventures fokus suntik modal startup startup digital pandemi pandemi butuh masyarakat servis dideliver startup mdi mana kelola dana investasi telkom lumayan investasi usaha beotensi depan topang revenue driver telkom strategic portfolio telkom budi setyawan wijaya diskusi digital tajuk capital market outlook modal ventura milik telkom aku beda coorate venture capital cvc mana kali nilai aspek sinergi kuat ekosistem digital prasyarat telkom cari aset suntik modal capital gain sisi sinergi singkat dana kelola capai bekerjasama kookmin korea usaha investasi negeri kincir angin belanda total sebar digital sektor healthcare agriculture telkom fokus pasar domestik pangsa pasar domestik ekosistem kembang bagus fintech sehat logistik area fokus pungkas sempat strategic portfolio telkom budi setyawan wijaya sunti modal suntik gojek mata cari untung semangat mata gain capital muncul service hasil sinergi gojek paket online convert langgan telkom kerjasama area digital advertising telkom turut dorong usaha negeri beartisipasi masuk usaha unicorn kue kait minim amerika unicorn order ratus market market ri arena main digital main unicorn imbuh","positif"
"strategic portfolio telkom persero tlkm budi setyawan wijaya persero bawa anak usaha catat saham perdana initial public offering ipo bursa efek bei bursa nama bursa anak usaha go public jepang australia forum prospek pasar modal gelar ipo ga naming sebut nama insya allah jadi realisasi kesiap fakta go public menteri badan usaha milik negara tlkm pisah spin anak usaha bidang infrastruktur pasar modal restrukturisasi koorasi spin catat saham perdana initial public offering ipo bursa efek bei anak usaha telkom bidang infrastruktur ipo tawar investor global investment authority ina dana abadi sovereign wealth fund swf bentuk perintah presiden jokowi telkom rencana lepas anak usaha dayamitra telekomunikasi mitratel pasar modal target eksekusi kuartal lambat kuartal mitratel anak usaha telkom gerak bidang sedia infrastruktur telekomunikasi milik menara telekomunikasi sebar wilayah layan operator seluler menara telekomunikasi ipo mitratel beotensi usaha menara telekomunikasi besar menara hasil gabung menara milik telkomsel sisa milik mitratel budi setyawan startup digital pandemi butuh masyarakat servis delivered startup mdi ventures kelola dana investasi telkom lumayan investasi usaha beotensi depan topang revenue driver telkom pandu sjahrir bei","positif"
"telkom persero tlkm dorong cepat transformasi digital salah satu digitalisasi spbu pertamina digitalisasi proses distribusi vaksi program vaksinasi dorong kembang platform indonesiabergerak media lapor warga kait kembang covid arah kembang digitalisasi telkom lengkap simak dialog aline wiratmaja enterise business service telkom edi witjara founder ceo qlue rama raditya power lunch cnbcindonesia","positif"
"telkom persero tlkm makna transformasi digital transformasi technology shifting ubah ekosistem topang langsung industri topang transformasi digital enterise telkom fokus segmen koorate langgan segmen perintah langgan segment umkm kustomer kembang digital transformasi lengkap simak dialog aline wiratmaja enterise business service telkom edi witjara founder ceo qlue rama raditya power lunch cnbcindonesia","positif"
